uniq_id,name,name_s,season,Premiere,Episode,episode_duration,channel,permission,writer,actor1,actor2,actor3,genre1,genre2,genre3,genre4,genre5,aka1,aka2,aka3,country,language,IMDb,score,review,5star,4star,3star,2star,1star
https://www.douban.com/doubanapp/dispatch?uri=/tv/34947626,偷心画师,偷心画师,,2020-09-16,29,45分钟,,, 刘梦娇,夏宁骏,曦子,蓝博, 喜剧,爱情,古装,,, Oh! My Sweet Liar!,,,中国大陆,汉语普通话,tt13154320,5.9,2943,9.5%,9.5%,44.6%,17.6%,10.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34967983,云端 第二季,云端,2,2020-11-02,7,15分钟,,, 孟扬,江奇霖,罗康,庄茱淩, 剧情,悬疑,,,, 云端囚徒 第二季,悬疑小说,,中国大陆,汉语普通话,,6.0,1370,2.5%,2.5%,57.6%,18.6%,2.5%
https://www.douban.com/doubanapp/dispatch?uri=/tv/27193133,我为歌狂之旋律重启,我为歌狂之旋律重启,,2020-10-02,12,,,, 孙岳懿,叶琪山,万苏婉,吕书君, 动画,音乐,,,, 我为歌狂2,我为歌狂II,,中国大陆,汉语普通话,,6.0,2957,11.6%,11.6%,36.4%,25.4%,8.7%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35131196,通灵妃 第二季,通灵妃,,2020-07-12,72,,腾讯视频,免费观看, 无叁,晏紫东,黄日莹,, 短片,奇幻,,,,,,,中国大陆,汉语普通话,,6.2,1723,6.1%,6.1%,57.3%,11.0%,4.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34880054,拾光的秘密,拾光的秘密,,2020-07-22,24,43分钟,,, 樊可乐,赵弈钦,李浩菲,周大为, 悬疑,,,,, Consummation,,,中国大陆,汉语普通话,tt12740282,6.2,2788,15.7%,15.7%,19.4%,18.5%,16.7%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35352390,奇妙博物馆 第二季,奇妙博物馆,,2020-12-10,40,3分钟,,, 解诗薇、郭红柳、安蕾、丁逸萱,王萧雪,刘寒羽,, 短片,,,,,,,,中国大陆,汉语普通话,,6.3,433,3.9%,3.9%,62.3%,11.7%,1.3%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,咪咕视频,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,腾讯视频,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,优酷视频,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,爱奇艺视频,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,芒果TV,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,央视频,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,最美的乡村,最美的乡村,,2020-06-06,30,45分钟,哔哩哔哩,免费观看, 郭靖宇,杨志刚,岳丽娜,刘智扬, 剧情,,,,, Perfect Village,,,中国大陆,汉语普通话,tt12319502,6.3,2250,20.3%,20.3%,26.6%,10.2%,18.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35141318,最美不过菜市场,最美不过菜市场,,2020-04-16,12,10分钟,,,,殳俏,赵子琪,赵胤胤, 纪录片,短片,,,, 最美菜市场,,,中国大陆,汉语普通话,,6.4,780,8.9%,8.9%,53.5%,12.9%,4.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35067625,亲爱的，请放松,亲爱的，请放松,,2020-05-18,10,58分钟,,, 吴垚,张大大,范丞丞,古力娜扎, 真人秀,,,,, 亲爱的请放松,,,中国大陆,汉语普通话,,6.5,821,16.0%,16.0%,30.0%,12.0%,12.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/27663757,功夫战警,功夫战警,1,2020-12-02,42,45分钟,爱奇艺视频,VIP免费观看, 谈韦,徐佳,牟星,徐洪浩, 动作,,,,,,,,中国大陆,汉语普通话,,6.5,1184,3.2%,3.2%,24.6%,9.5%,11.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35168635,这！就是灌篮 第三季,这！就是灌篮,3,2020-10-17,10,,优酷视频,VIP免费观看,,邓伦,朱芳雨,王仕鹏, 运动,真人秀,,,, 这！就是灌篮3,Dunk of China,,中国大陆,汉语普通话,,6.5,3013,9.8%,9.8%,50.4%,13.0%,2.4%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35158190,脱口秀小会,脱口秀小会,,2020-07-23,10,20分钟,,,,李诞,张雨绮,罗永浩, 喜剧,脱口秀,,,,,,,中国大陆,汉语普通话,,6.6,1452,6.7%,6.7%,57.7%,9.3%,0.5%
https://www.douban.com/doubanapp/dispatch?uri=/tv/26617028,拳拳四重奏,拳拳四重奏,,2020-01-10,12,45分钟,,, 武瑶,罗正,明鹏,周翊然, 爱情,,,,, Boom!Boom!,,,中国大陆,汉语普通话,,6.8,629,21.1%,21.1%,24.6%,12.3%,10.5%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35139226,一根木头,一根木头,,2020-07-30,12,32分钟,爱奇艺视频,免费观看, 戈让,周川珺,陈姝君,李政军, 剧情,爱情,,,, The wood,,,中国大陆,汉语普通话,,6.8,2895,20.5%,20.5%,21.9%,17.8%,6.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34969103,日出之食 第三季,日出之食,3,2020-01-15,8,25,,,,,,, 纪录片,,,,,,,,中国大陆,汉语普通话,,7.1,696,11.8%,11.8%,50.0%,4.4%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,石头开花,石头开花,,2020-11-17,20,,爱奇艺视频,VIP免费观看, 叶书林,富大龙,郭涛,乔大韦, 剧情,,,,,,,,中国大陆,汉语普通话,tt13458672,7.3,1115,20.4%,20.4%,27.2%,6.8%,4.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,石头开花,石头开花,,2020-11-17,20,,优酷视频,VIP免费观看, 叶书林,富大龙,郭涛,乔大韦, 剧情,,,,,,,,中国大陆,汉语普通话,tt13458672,7.3,1115,20.4%,20.4%,27.2%,6.8%,4.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,石头开花,石头开花,,2020-11-17,20,,腾讯视频,VIP免费观看, 叶书林,富大龙,郭涛,乔大韦, 剧情,,,,,,,,中国大陆,汉语普通话,tt13458672,7.3,1115,20.4%,20.4%,27.2%,6.8%,4.9%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35170372,我是大神仙,我是大神仙,,2020-11-12,32,18分钟,腾讯视频,VIP免费观看,,曹旭鹏,林帽帽,小连杀, 动画,奇幻,,,,,,,中国大陆,汉语普通话,,7.3,1828,14.1%,14.1%,25.8%,10.2%,1.6%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34987958,小孩的神秘生活,小孩的神秘生活,,2020-03-12,8,47分钟,,,,昂米诺,白曼可,王昱尧, 纪录片,,,,,,,,中国大陆,汉语普通话,,7.4,1190,26.1%,26.1%,22.3%,8.5%,4.8%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35196790,剑网3·侠肝义胆沈剑心之长漂,剑网3,,2020-10-24,20,7分钟,哔哩哔哩,VIP免费观看, 周沬,宝木中阳,,, 剧情,喜剧,动画,,,,,,中国大陆,汉语普通话,,7.4,2465,13.8%,13.8%,33.9%,5.5%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34950931,择天记 第五季,择天记,5,2020-03-16,12,20分钟,,, 田辰明,沈达威,杨梦露,刘北辰, 动画,,,,,,,,中国大陆,汉语普通话,,7.7,735,20.0%,20.0%,26.7%,5.3%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/30222894,小镇警事,小镇警事,,2020-08-12,38,45分钟,咪咕视频,免费观看, 张谦,张国强,马丁,李博, 喜剧,,,,, 小镇警事·明天我休息,,,中国大陆,汉语普通话,tt12861894,7.6,1237,23.3%,23.3%,26.4%,3.1%,3.1%
https://www.douban.com/doubanapp/dispatch?uri=/tv/30222894,小镇警事,小镇警事,,2020-08-12,38,45分钟,腾讯视频,免费观看, 张谦,张国强,马丁,李博, 喜剧,,,,, 小镇警事·明天我休息,,,中国大陆,汉语普通话,tt12861894,7.6,1237,23.3%,23.3%,26.4%,3.1%,3.1%
https://www.douban.com/doubanapp/dispatch?uri=/tv/30222894,小镇警事,小镇警事,,2020-08-12,38,45分钟,央视频,VIP免费观看, 张谦,张国强,马丁,李博, 喜剧,,,,, 小镇警事·明天我休息,,,中国大陆,汉语普通话,tt12861894,7.6,1237,23.3%,23.3%,26.4%,3.1%,3.1%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35168396,秦淮河,秦淮河,1,2020-08-03,3,45分钟,优酷视频,VIP免费观看,,,,,,,,,, Qinhuai River,,,中国大陆,汉语普通话,,7.8,316,23.9%,23.9%,29.6%,1.4%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35168396,秦淮河,秦淮河,1,2020-08-03,3,45分钟,腾讯视频,VIP免费观看,,,,,,,,,, Qinhuai River,,,中国大陆,汉语普通话,,7.8,316,23.9%,23.9%,29.6%,1.4%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34973406,我在中国做电影,我在中国做电影,,2020-02-28,5,17分钟,,,,叶锦添,曹郁,赵楠, 纪录片,,,,, Tales of Chinese Filmmakers,,,中国大陆,汉语普通话,tt11892640,7.8,6905,22.5%,22.5%,27.2%,2.4%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35268009,一日谈,一日谈,1,2020-11-26,6,35分钟,,,,李厚辰,梁文道,青山周平, 脱口秀,,,,, in-between,,,中国大陆,汉语普通话,,7.9,1566,28.5%,28.5%,26.2%,2.8%,0.5%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35006021,文学的日常,文学的日常,,2020-04-16,5,55分钟,优酷视频,VIP免费观看,,马原,吴啸海,马家辉, 纪录片,,,,,,,,中国大陆,汉语普通话,,8.0,5009,26.7%,26.7%,20.9%,2.5%,0.6%
https://www.douban.com/doubanapp/dispatch?uri=/tv/34967081,我的白大褂·抗疫日记,我的白大褂,,2020-02-10,25,5分钟,,, 史榕,,,, 纪录片,短片,,,,,,,中国大陆,汉语普通话,,8.1,685,31.3%,31.3%,15.0%,5.0%,1.3%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35026152,我住在这里的理由 第三季,我住在这里的理由,,2020-03-26,100,,哔哩哔哩,免费观看,,阿部力,,, 纪录片,,,,,,,,中国大陆,汉语普通话,,8.1,1215,25.0%,25.0%,21.3%,0.0%,0.0%
https://www.douban.com/doubanapp/dispatch?uri=/tv/35236769,观复嘟嘟2020,观复嘟嘟2020,,2020-10-28,16,30分钟,,, 温姬彦,马未都,,, 脱口秀,,,,, 观复嘟嘟 第三季,都嘟 第四季,,中国大陆,汉语普通话,,8.3,1377,33.8%,33.8%,16.2%,1.5%,0.0%
