link-href,ID,name,season,Premiere,Episode,Episode Length,channel,permission,writer,aka,country,language,IMDb,score,review,5star,4star,3star,2star,1star,actor_name,actor_no,genre_ch,genre_en,ตัด
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,iQIYI,,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,何小疯,actor1,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,iQIYI,,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,姜广涛,actor2,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,iQIYI,,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,段艺璇,actor3,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,Tencent Video,VIP,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,何小疯,actor1,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,Tencent Video,VIP,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,姜广涛,actor2,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,Tencent Video,VIP,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,段艺璇,actor3,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,Bilibili,VIP,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,何小疯,actor1,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,Bilibili,VIP,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,姜广涛,actor2,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/30371751,30371751,伍六七之最强发型师,,10/23/2019,10,15,Bilibili,VIP,何小疯,刺客伍六七 第二季 / 刺客伍六七 第2季 / 伍六七 第二季 / Scissor Seven / Killer Seven Ⅱ,制片国家/地区: 中国大陆,汉语普通话,tt11503082,9.1,83729,0.614,0.614,0.059,0.006,0.001,段艺璇,actor3,动画,animation(ตัด),animation(ตัด)
https://www.douban.com/doubanapp/dispatch?uri=/tv/34855021,34855021,令人心动的offer 第一季,,10/30/2019,10,115,Tencent Video,VIP,褚亚伟,,制片国家/地区: 中国大陆,汉语普通话,,8.2,81405,0.314,0.314,0.147,0.02,0.008,何炅,actor1,真人秀,reality show(ตัด),reality show(ตัด)
