score,review,5star,4star,3star,2star,1star,director,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link-href,channel,permission
5.9,2943人评价,9.5%,9.5%,44.6%,17.6%,10.8%,导演: 柯政铭,编剧: 刘梦娇 / 乙马 / 黄苑 / 罗辑 / 湛梦,夏宁骏 / 曦子 / 蓝博 / 康可人 / 田书臣 / 小爱 / 黄星羱 / 贺灵榣 / 于白水 / 谢乙峤阳 / 宋子秦 / 罗卿语 / 戴何嘉琦 / 杨大鹏 / 谭琍敏 / 崔奕更多...,类型: 喜剧 / 爱情 / 古装,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-09-16(中国大陆),,集数: 29,单集片长: 45分钟,又名: Oh! My Sweet Liar!,IMDb: tt13154320,偷心画师,https://www.douban.com/doubanapp/dispatch?uri=/tv/34947626,,
6.0,1370人评价,2.5%,2.5%,57.6%,18.6%,2.5%,导演: 老算,编剧: 孟扬,江奇霖 / 罗康 / 庄茱淩,类型: 剧情 / 悬疑,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-02(中国大陆),季数: 2,集数: 7,单集片长: 15分钟,又名: 云端囚徒 第二季 / 悬疑小说,,云端 第二季,https://www.douban.com/doubanapp/dispatch?uri=/tv/34967983,,
6.0,2957人评价,11.6%,11.6%,36.4%,25.4%,8.7%,导演: 倪明 / 曹景,编剧: 孙岳懿 / 田辰明,叶琪山 / 万苏婉 / 吕书君 / 十四 / 孙晔 / 沈达威 / 冯骏骅 / 筱筝 / Vila / 萧清源 / 吕艳婷 / 陶海 / 夏磊 / 谢添天更多...,类型: 动画 / 音乐,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-10-02(中国大陆),,集数: 12,,又名: 我为歌狂2 / 我为歌狂II,,我为歌狂之旋律重启,https://www.douban.com/doubanapp/dispatch?uri=/tv/27193133,,
6.2,1723人评价,6.1%,6.1%,57.3%,11.0%,4.9%,导演: 陈匀佼 Jeremy,编剧: 无叁 / 二帅 / 东灵 / 花飒 / 宁羽心,晏紫东 / 黄日莹,类型: 短片 / 奇幻,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-07-12(中国大陆),,集数: 72,,,,通灵妃 第二季,https://www.douban.com/doubanapp/dispatch?uri=/tv/35131196,腾讯视频,免费观看
6.2,2788人评价,15.7%,15.7%,19.4%,18.5%,16.7%,导演: 綦小卉 / 国浩,编剧: 樊可乐 / 杨妮蔻 / 萨萨,赵弈钦 / 李浩菲 / 周大为 / 黄馨瑶 / 董思怡 / 王一哲 / 姚童 / 王乐夫 / 艾东 / 昌隆 / 郑好 / 王东 / 刘敏更多...,类型: 悬疑,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-07-22(中国大陆),,集数: 24,单集片长: 43分钟,又名: Consummation,IMDb: tt12740282,拾光的秘密,https://www.douban.com/doubanapp/dispatch?uri=/tv/34880054,,
6.3,433人评价,3.9%,3.9%,62.3%,11.7%,1.3%,导演: 陈默、周蕾、高萌,编剧: 解诗薇、郭红柳、安蕾、丁逸萱,王萧雪 / 刘寒羽,类型: 短片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-12-10(中国大陆),,集数: 40,单集片长: 3分钟,,,奇妙博物馆 第二季,https://www.douban.com/doubanapp/dispatch?uri=/tv/35352390,,
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,咪咕视频,免费观看
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,腾讯视频,免费观看
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,优酷视频,免费观看
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,爱奇艺视频,免费观看
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,芒果TV,免费观看
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,央视频,免费观看
6.3,2250人评价,20.3%,20.3%,26.6%,10.2%,18.8%,导演: 巨兴茂,编剧: 郭靖宇 / 杨勇,杨志刚 / 岳丽娜 / 刘智扬 / 于毅 / 句号 / 何政军 / 曹翠芬 / 苇青 / 任帅 / 张子健 / 王奎荣 / 贾宏伟 / 黑子 / 赵恒煊 / 杨昆 / 何雨虹 / 戴向宇 / 肖茵 / 齐欢 / 高睿菲儿 / 杨紫彤 / 马亮 / 孙仲秋 / 赵晓坤 / 马赫 / 于鸿洲 / 王奕盛 / 牛北壬 / 顾靖 / 姬晨牧更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-06-06(中国大陆),,集数: 30,单集片长: 45分钟,又名: Perfect Village,IMDb: tt12319502,最美的乡村,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463479,哔哩哔哩,免费观看
6.4,780人评价,8.9%,8.9%,53.5%,12.9%,4.0%,导演: 邓洁 / 陈磊,,殳俏 / 赵子琪 / 赵胤胤 / 徐峥 / 金世佳,类型: 纪录片 / 短片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-04-16(中国大陆),,集数: 12,单集片长: 10分钟,又名: 最美菜市场,,最美不过菜市场,https://www.douban.com/doubanapp/dispatch?uri=/tv/35141318,,
6.5,821人评价,16.0%,16.0%,30.0%,12.0%,12.0%,导演: 任静 / 邱民,编剧: 吴垚 / 张洪雁 / 张艺涵,张大大 / 范丞丞 / 古力娜扎 / 戚薇 / 任嘉伦 / 尚雯婕 / 沈月 / 佟丽娅 / 薇娅 / 许魏洲更多...,类型: 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-05-18(中国大陆),,集数: 10,单集片长: 58分钟,又名: 亲爱的请放松,,亲爱的，请放松,https://www.douban.com/doubanapp/dispatch?uri=/tv/35067625,,
6.5,1184人评价,3.2%,3.2%,24.6%,9.5%,11.9%,导演: 天毅,编剧: 谈韦,徐佳 / 牟星 / 徐洪浩 / 何彦霓 / 夏侯镔 / 任柯诺 / 杨山 / 安雅萍 / 敖杨 / 薛景瑞 / 杨文哲 / 于跃更多...,类型: 动作,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-12-02(中国大陆),季数: 1,集数: 42,单集片长: 45分钟,,,功夫战警,https://www.douban.com/doubanapp/dispatch?uri=/tv/27663757,爱奇艺视频,VIP免费观看
6.5,3013人评价,9.8%,9.8%,50.4%,13.0%,2.4%,,,邓伦 / 朱芳雨 / 王仕鹏 / 郭艾伦 / 周琦 / 陈昕葳 / 金子涵 / 乃万 / 徐艺洋更多...,类型: 运动 / 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-10-17(中国大陆),季数: 3,集数: 10,,又名: 这！就是灌篮3 / Dunk of China,,这！就是灌篮 第三季,https://www.douban.com/doubanapp/dispatch?uri=/tv/35168635,优酷视频,VIP免费观看
6.6,1452人评价,6.7%,6.7%,57.7%,9.3%,0.5%,,,李诞 / 张雨绮 / 罗永浩,类型: 喜剧 / 脱口秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-07-23(中国大陆),,集数: 10,单集片长: 20分钟,,,脱口秀小会,https://www.douban.com/doubanapp/dispatch?uri=/tv/35158190,,
6.8,629人评价,21.1%,21.1%,24.6%,12.3%,10.5%,导演: 宋嘉峻,编剧: 武瑶 / 廖雨嫣 / 刘伊菲,罗正 / 明鹏 / 周翊然 / 段美洋 / 戴蕥琪 / 叶禹含更多...,类型: 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-01-10(中国大陆),,集数: 12,单集片长: 45分钟,又名: Boom!Boom!,,拳拳四重奏,https://www.douban.com/doubanapp/dispatch?uri=/tv/26617028,,
6.8,2895人评价,20.5%,20.5%,21.9%,17.8%,6.8%,导演: 江涛,编剧: 戈让 / 侯晓 / 陈湃涌 / 王晓惠,周川珺 / 陈姝君 / 李政军 / 贺灵榣 / 任志鹏 / 孔雪儿 / 郜玄铭 / 金圣凯更多...,类型: 剧情 / 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-07-30(中国大陆),,集数: 12,单集片长: 32分钟,又名: The wood,,一根木头,https://www.douban.com/doubanapp/dispatch?uri=/tv/35139226,爱奇艺视频,免费观看
7.1,696人评价,11.8%,11.8%,50.0%,4.4%,0.0%,导演: 章红伟,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-01-15(中国大陆),季数: 3,集数: 8,单集片长: 25,,,日出之食 第三季,https://www.douban.com/doubanapp/dispatch?uri=/tv/34969103,,
7.3,1115人评价,20.4%,20.4%,27.2%,6.8%,4.9%,导演: 李少红 / 刘家成 / 滕华涛 / 高群书 / 余淳 / 林柯 / 张多福 / 惠楷栋 / 徐宗政 / 刘洋,编剧: 叶书林,富大龙 / 郭涛 / 乔大韦 / 海一天 / 孙茜 / 巴多 / 罗京民 / 苇青 / 张铎 / 王雅捷 / 巩汉林 / 杜源 / 葛四 / 徐成林 / 巩天阔 / 唐北平 / 许超 / 杨智迪 / 胡胜锋 / 李光洁 / 郑云龙 / 甘婷婷 / 雷汉 / 孙敏 / 魏之皓 / 张戈 / 林永健 / 黄小蕾 / 许文广 / 任正斌 / 牛飘 / 高正 / 张东升 / 王品一 / 曹祁元 / 马天宇 / 贾青 / 赵毅 / 范雷 / 左腾云 / 冯文娟 / 尹正 / 于晓光 / 吴佳尼 / 杜志国 / 赵昕 / 李欣泽 / 侯煜 / 张逗逗 / 麻骏 / 王佳佳 / 苏鑫 / 马书良 / 张恒 / 张馨予 / 涂松岩 / 刘天佐 / 韩雪 / 韩童生 / 白客 / 黄璐更多...,类型: 剧情,制片国家/地区: 中国大陆,语言: 汉语普通话,2020-11-17(中国大陆),,集数: 20,,,IMDb: tt13458672,石头开花,https://www.douban.com/doubanapp/dispatch?uri=/tv/35231978,爱奇艺视频,VIP免费观看
