score,review,5star,4star,3star,2star,1star,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link-href,director,channel,permission
,暂无评分,,,,,,,郦波 / 樊登 / 陈更,类型: 儿童 / 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-07-17(中国大陆),,集数: 12,单集片长: 70分钟,,,超级语文课,https://www.douban.com/doubanapp/dispatch?uri=/tv/35999390,导演: 韩金媛,,
,暂无评分,,,,,,,姜华彪,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-10-17(中国大陆),,集数: 3,单集片长: 45分钟,,,盛世修典,https://www.douban.com/doubanapp/dispatch?uri=/tv/36118535,导演: 王伟平,,
,暂无评分,,,,,,编剧: 周沫,林泽辉 / 一只璐,类型: 爱情 / 短片,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-11-23(中国大陆),季数: 1,集数: 23,单集片长: 2分钟,,,前方高能,https://www.douban.com/doubanapp/dispatch?uri=/tv/36166180,导演: 周潇,,
,暂无评分,,,,,,编剧: 于景 / 李天宇 / 王宁,赵东泽 / 吴曼思 / 汤梦佳 / 肖宇梁 / 温心 / 何龙龙 / 胡宇轩 / 樊瑞琪 / 时男 / 金子 / 常小雨更多...,类型: 剧情 / 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-11-07(中国大陆),,集数: 24,,,,世界上另一个你,https://www.douban.com/doubanapp/dispatch?uri=/tv/35043465,导演: 于景 / 王凯阳,,
,暂无评分,,,,,,,倪虹洁 / 沈凌 / 沈奕斐 / 王珞丹 / 张嘉佳,类型: 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-07-02(中国大陆),,集数: 10,单集片长: 70分钟,,,遇见友情人,https://www.douban.com/doubanapp/dispatch?uri=/tv/35786032,,爱奇艺视频,VIP免费观看
,暂无评分,,,,,,编剧: 李相国,黄梦莹 / 任东霖 / 刘泳希 / 魏鹏 / 郑龙 / 张宇彤 / 董李无忧 / 刘思艺 / 王唯恩 / 訾富尔 / 刘六 / 夏望 / 杨云屾 / 台雅雯 / 沈冲 / 和树标 / 侯瑞清更多...,类型: 喜剧 / 爱情 / 古装,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-06-27(中国大陆),,集数: 26,单集片长: 40,又名: 齐丑无艳2 / 齐丑无艳 第二季 / 齐丑无艳Ⅱ,,齐丑无艳之破镜重圆,https://www.douban.com/doubanapp/dispatch?uri=/tv/35295483,导演: 李相国,爱奇艺视频,VIP免费观看
,暂无评分,,,,,,编剧: 魏风华,杨志刚 / 郜思雯 / 李祉默 / 牛宝军 / 张黎明 / 唐锡萍 / 何索 / 都钊 / 顾明漪 / 刘秦杉 / 牛北壬 / 马赫 / 姬晨牧 / 马亮更多...,类型: 悬疑 / 短片 / 奇幻,制片国家/地区: 中国大陆 / 新加坡,,2022-12-29(中国大陆/新加坡),季数: 1,集数: 18,,又名: THE NAMELESS TIME TRAVELLER,,大唐来的苏无名,https://www.douban.com/doubanapp/dispatch?uri=/tv/36152653,导演: 柏杉,,
,暂无评分,,,,,,编剧: 周楚囡,阿达娃 / 卜凡 / 戴景耀 / 姜贞羽 / 李俊濠 / 孟美岐 / 奥斯卡 / 庆怜 / 徐艺洋 / 袁一琦 / 张星特 / 赵尧珂更多...,类型: 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-09-10(中国大陆),,,单集片长: 40分钟,,,桃花坞开放中,https://www.douban.com/doubanapp/dispatch?uri=/tv/36093286,导演: 池源,腾讯视频,VIP免费观看
,暂无评分,,,,,,编剧: 范家驹,宋亚轩 / 沈腾 / 贾玲 / 华晨宇 / 关晓彤 / 白敬亭 / 沙溢 / 谭松韵 / 赵又廷更多...,类型: 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-02-27(中国大陆),季数: 2,集数: 12,单集片长: 27分钟,,,王牌少年加载中 第二季,https://www.douban.com/doubanapp/dispatch?uri=/tv/35795262,导演: 吴彤,,
,暂无评分,,,,,,编剧: 怀玉,姚弛 / 张楠 / 李思阳 / 宋芳园 / 徐峰 / 高天妮 / 淳琪更多...,类型: 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-03-01(中国大陆),,集数: 24,单集片长: 45分钟,,,我的爱与星辰,https://www.douban.com/doubanapp/dispatch?uri=/tv/35095264,导演: 廉欣,,
6.0,2120人评价,9.3%,9.3%,34.1%,23.3%,10.1%,编剧: 刘然 / 葛静 / 杜晓辉 / 姜姜 / 刘馨丹 / 刘睿,林允 / 高至霆 / 李洪涛 / 王海燕 / 鲍大志 / 侯岩松 / 葛铮 / 贺鹏 / 刘瑜峰 / 李若宁 / 王放 / 熊悦希 / 王瑄 / 田宜峰 / 章涛 / 张明健 / 吴珏瑾 / 张洪杰 / 李立 / 刁成硕 / 孔宋今 / 徐晟 / 纪振 / 王勇 / 孙乐天 / 赵文明 / 李玫春 / 梁国荣 / 杨智迪 / 王大宇 / 李佳宜 / 王韵斐 / 李波 / 雷雨晴 / 陈懿玲 / 林诗邯 / 傅晓明 / 何籽乐 / 刘乃强 / 刘未晞 / 郑天享 / 马晨焱 / 陈思同 / 潘屹桐更多...,类型: 剧情 / 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-02-20(中国大陆),,集数: 36,单集片长: 45分钟,又名: The Old Dreams,IMDb: tt18265592,光阴里的故事,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463324,导演: 李田,腾讯视频,VIP免费观看
6.0,2120人评价,9.3%,9.3%,34.1%,23.3%,10.1%,编剧: 刘然 / 葛静 / 杜晓辉 / 姜姜 / 刘馨丹 / 刘睿,林允 / 高至霆 / 李洪涛 / 王海燕 / 鲍大志 / 侯岩松 / 葛铮 / 贺鹏 / 刘瑜峰 / 李若宁 / 王放 / 熊悦希 / 王瑄 / 田宜峰 / 章涛 / 张明健 / 吴珏瑾 / 张洪杰 / 李立 / 刁成硕 / 孔宋今 / 徐晟 / 纪振 / 王勇 / 孙乐天 / 赵文明 / 李玫春 / 梁国荣 / 杨智迪 / 王大宇 / 李佳宜 / 王韵斐 / 李波 / 雷雨晴 / 陈懿玲 / 林诗邯 / 傅晓明 / 何籽乐 / 刘乃强 / 刘未晞 / 郑天享 / 马晨焱 / 陈思同 / 潘屹桐更多...,类型: 剧情 / 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-02-20(中国大陆),,集数: 36,单集片长: 45分钟,又名: The Old Dreams,IMDb: tt18265592,光阴里的故事,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463324,导演: 李田,爱奇艺视频,VIP免费观看
6.0,2120人评价,9.3%,9.3%,34.1%,23.3%,10.1%,编剧: 刘然 / 葛静 / 杜晓辉 / 姜姜 / 刘馨丹 / 刘睿,林允 / 高至霆 / 李洪涛 / 王海燕 / 鲍大志 / 侯岩松 / 葛铮 / 贺鹏 / 刘瑜峰 / 李若宁 / 王放 / 熊悦希 / 王瑄 / 田宜峰 / 章涛 / 张明健 / 吴珏瑾 / 张洪杰 / 李立 / 刁成硕 / 孔宋今 / 徐晟 / 纪振 / 王勇 / 孙乐天 / 赵文明 / 李玫春 / 梁国荣 / 杨智迪 / 王大宇 / 李佳宜 / 王韵斐 / 李波 / 雷雨晴 / 陈懿玲 / 林诗邯 / 傅晓明 / 何籽乐 / 刘乃强 / 刘未晞 / 郑天享 / 马晨焱 / 陈思同 / 潘屹桐更多...,类型: 剧情 / 爱情,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-02-20(中国大陆),,集数: 36,单集片长: 45分钟,又名: The Old Dreams,IMDb: tt18265592,光阴里的故事,https://www.douban.com/doubanapp/dispatch?uri=/tv/34463324,导演: 李田,央视频,VIP免费观看
6.2,2594人评价,11.1%,11.1%,46.8%,13.5%,8.3%,编剧: 孙建业 / 萧嫣飞,殷桃 / 孙艺洲 / 袁弘 / 姜妍 / 陈米麒 / 马志威 / 于明加 / 代乐乐 / 曾黎 / 王策 / 黄澄澄更多...,类型: 剧情 / 家庭,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-01-03(中国大陆),,集数: 31,单集片长: 45分钟,又名: 好女好男 / As We Wish,,幸福二重奏,https://www.douban.com/doubanapp/dispatch?uri=/tv/35132856,导演: 梦继,芒果TV,VIP免费观看
6.2,2594人评价,11.1%,11.1%,46.8%,13.5%,8.3%,编剧: 孙建业 / 萧嫣飞,殷桃 / 孙艺洲 / 袁弘 / 姜妍 / 陈米麒 / 马志威 / 于明加 / 代乐乐 / 曾黎 / 王策 / 黄澄澄更多...,类型: 剧情 / 家庭,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-01-03(中国大陆),,集数: 31,单集片长: 45分钟,又名: 好女好男 / As We Wish,,幸福二重奏,https://www.douban.com/doubanapp/dispatch?uri=/tv/35132856,导演: 梦继,央视频,VIP免费观看
6.7,4236人评价,11.1%,11.1%,32.0%,7.8%,9.8%,,王源 / 周笔畅 / 大张伟 / 欧阳娜娜 / 邓紫棋 / 刘雨昕 / 白举纲 / 布瑞吉 / 蔡明 / 付笛声 / 胡海泉 / 黄绮珊 / 吉克隽逸 / 焦迈奇 / 李健 / 郎朗 / 刘维 / 柳岩 / 李治廷 / 马天宇 / 倪萍 / 任贤齐 / 谭维维 / 谭卓 / 毛衍七 / 王耀庆 / 王自健 / 薛之谦 / 杨迪 / 易立竞 / 周蕙 / 郑钧 / 詹雯婷 / 赵小棠 / 张信哲 / 张亚东更多...,类型: 真人秀,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-08-12(中国大陆),,集数: 12,单集片长: 75分钟,,,百川综艺季,https://www.douban.com/doubanapp/dispatch?uri=/tv/36014759,,,
6.8,1195人评价,14.2%,14.2%,39.1%,13.2%,3.0%,编剧: 曹茹莎,倪寒尽 / 李梦颖 / 程相 / 宋海颉,类型: 剧情 / 短片 / 古装,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-02-17(中国大陆),,集数: 28,单集片长: 8分钟,,,这个杀手不改需求,https://www.douban.com/doubanapp/dispatch?uri=/tv/35773199,导演: 葛文喆,,
7.5,240人评价,15.4%,15.4%,30.8%,4.6%,0.0%,,,类型: 纪录片,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-11-23(中国大陆),,集数: 5,,,,街边下饭魂,https://www.douban.com/doubanapp/dispatch?uri=/tv/35954505,,,
7.5,368人评价,15.8%,15.8%,29.5%,2.1%,3.2%,,,,制片国家/地区: 中国大陆,语言: 汉语普通话,2022-02-19(中国大陆),,集数: 6,单集片长: 20分钟,,,潮州味道,https://www.douban.com/doubanapp/dispatch?uri=/tv/35786133,导演: 林俊 / 洪希楠,,
