web-scraper-order,web-scraper-start-url,score,review,5star,4star,3star,2star,1star,director,writer,actor,genre,country,language,Premiere,season,Episode,Episode Length,aka,IMDb,name,link,link-href,channel,permission
"1689865655-1","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 沈华","","周扬","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-15(中国大陆)","季数: 1","集数: 6","单集片长: 24分钟","","","大脑深处","大脑深处2023 / 中国大陆 / 纪录片 / 沈华 / 周扬暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36221145","",""
"1689865676-2","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 纪录片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-13(中国大陆)","","集数: 5","单集片长: 45分钟","","","扎什伦布","扎什伦布2023 / 中国大陆 / 纪录片暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36243754","",""
"1689865697-3","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 吕芃","","吴奇隆 / 林峯 / 丁禹兮 / 林允 / 金晨 / 蔡文静更多...","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-11(中国大陆)","","集数: 12","单集片长: 90","又名: 追星3、探险季","","追星星的人 第三季","追星星的人 第三季2023 / 中国大陆 / 真人秀 / 吕芃 / 吴奇隆 林峯暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36155075","哔哩哔哩","VIP免费观看"
"1689865718-4","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 王梓萱","","张栋梁 / 何洁 / 王啸坤 / 吴莫愁 / 胡宇桐","类型: 音乐 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-03(中国大陆)","","集数: 12","单集片长: 75分钟","又名: No.17 Live House","","17号音乐仓库","17号音乐仓库2023 / 中国大陆 / 音乐 真人秀 / 王梓萱 / 张栋梁 何洁暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36198624","",""
"1689865739-5","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 金睿","编剧: 戴小板","鲁照华 / 朱致灵 / 严若曦 / 赫楚","类型: 剧情 / 爱情 / 短片 / 奇幻 / 古装","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-01(中国大陆)","","集数: 24","单集片长: 12分钟","又名: 穿越美人在作妖","","城主是我的","城主是我的2023 / 中国大陆 / 剧情 爱情 短片 奇幻 古装 / 金睿 / 鲁照华 朱致灵暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36206712","腾讯视频","VIP免费观看"
"1689865760-6","https://movie.douban.com/tv/","","暂无评分","","","","","","","","吾皇猫 / 巴扎黑 / 少年","类型: 动画","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-02(中国大陆)","","集数: 13","","又名: 吾皇巴扎黑","","关喵什么事","关喵什么事2023 / 中国大陆 / 动画 / 吾皇猫 巴扎黑暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36140903","",""
"1689865781-7","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 文鸿毅","","吴俊余 / 陈欣予 / 甘望星","类型: 爱情 / 短片 / 古装","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-11(中国大陆)","","集数: 26","单集片长: 10分钟","又名: 战王宠妃之倾世小狂医","","倾世小狂医","倾世小狂医2023 / 中国大陆 / 爱情 短片 古装 / 文鸿毅 / 吴俊余 陈欣予暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35970079","腾讯视频","VIP免费观看"
"1689865802-8","https://movie.douban.com/tv/","","暂无评分","","","","","","","","杨子姗 / 周轶君 / 齐溪 / 张末 / 麦子 / 李少红更多...","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-06(中国大陆网络)","","集数: 12","单集片长: 15分钟","又名: The View She Finds","","她的取景器","她的取景器2023 / 中国大陆 / 脱口秀 / 杨子姗 周轶君暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36226192","腾讯视频","免费观看"
"1689865823-9","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 刘建华","编剧: 赵成浩 / 李仁杰 / 刘国宝 / 王娟 / 刘夏 / 刘禹霆","巩峥 / 曲尼次仁 / 刘向京 / 赵婷婷 / 何政军 / 沈丹萍 / 杨童舒 / 陆剑民 / 刘禹霆 / 李婉媚 / 何德乾更多...","类型: 历史","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-05(中国大陆)","","集数: 32","","又名: 雪线之上 / 雪线","","雪莲花盛开的地方","雪莲花盛开的地方2023 / 中国大陆 / 历史 / 刘建华 / 巩峥 曲尼次仁暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/34605017","哔哩哔哩","VIP免费观看"
"1689865844-10","https://movie.douban.com/tv/","","暂无评分","","","","","","","","管泽元 / 王瀚哲 / 王骁 / 王可蓉 / 欣小萌 / 韩小沐更多...","类型: 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-06(中国大陆)","","集数: 4","","","","令人澎湃的西藏","令人澎湃的西藏2023 / 中国大陆 / 真人秀 / 管泽元 王瀚哲暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36379076","",""
"1689865865-11","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 杜亭君","","王培根 / 周蓉倩 / 李佳繁 / 李卓媚","类型: 悬疑 / 惊悚 / 短片","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-05-05(中国大陆)","","集数: 26","单集片长: 6","又名: How to Kill a  Mystery Novel Writer","","悬疑作者求生指南","悬疑作者求生指南2023 / 中国大陆 / 悬疑 惊悚 短片 / 杜亭君 / 王培根 周蓉倩暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36394540","腾讯视频","VIP免费观看"
"1689865886-12","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 孙硕 / 陈敏航 / 周半癫","编剧: 曹梦伊","曹云图 / 徐佳琦 / 张振 / 任磊 / 胡良伟 / 简单 / 路杨 / 段艺璇 / 黄建弘 / 郭政建 / 杨希 / 赵铭洲更多...","类型: 动画","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-05(中国大陆)","","集数: 10","单集片长: 7分钟","","","这个年纪还能当大侠吗","这个年纪还能当大侠吗2023 / 中国大陆 / 动画 / 孙硕 陈敏航 周半癫 / 曹云图 徐佳琦暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36207060","",""
"1689865907-13","https://movie.douban.com/tv/","","暂无评分","","","","","","","","","类型: 音乐 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-12(中国大陆)","","集数: 2","","又名: 大侦探第八季 侦心侦意新春演唱会","","侦心侦意新春演唱会","侦心侦意新春演唱会2023 / 中国大陆 / 音乐 真人秀暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36218112","",""
"1689865928-14","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 严典雅","","王濛 / 周洋 / 刘雨昕 / 范世錡 / 姚琛","类型: 运动 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-17(中国大陆)","","集数: 10","单集片长: 90分钟","又名: 运动者联濛 第二季","","运动者联盟","运动者联盟2023 / 中国大陆 / 运动 真人秀 / 严典雅 / 王濛 周洋暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36212102","咪咕视频","VIP免费观看"
"1689865928-15","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 严典雅","","王濛 / 周洋 / 刘雨昕 / 范世錡 / 姚琛","类型: 运动 / 真人秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-02-17(中国大陆)","","集数: 10","单集片长: 90分钟","又名: 运动者联濛 第二季","","运动者联盟","运动者联盟2023 / 中国大陆 / 运动 真人秀 / 严典雅 / 王濛 周洋暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/36212102","芒果TV","VIP免费观看"
"1689865949-16","https://movie.douban.com/tv/","7.7","862人评价","23.7%","23.7%","12.4%","4.1%","5.3%","导演: 颜芳","","龙洋 / 康震 / 蒙曼 / 郦波 / 杨雨","类型: 脱口秀","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-01-25(中国大陆)","","集数: 10","单集片长: 90分钟","","","2023中国诗词大会","2023中国诗词大会2023 / 中国大陆 / 脱口秀 / 颜芳 / 龙洋 康震7.7","https://www.douban.com/doubanapp/dispatch?uri=/tv/36219861","央视频","免费观看"
"1689865970-17","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 欧丁丁","编剧: 杨笑一 / 欧学琳 / 欧丁丁","孙嘉俊 / 成止微 / 邢昀 / 孙彩纶 / 李槿 / 郭一扬 / 雷皓翔 / 季丹妮 / 蒋涛 / 王辰昊 / 吴方圆 / 卢勉达 / 周雨铭 / 赵一霖 / 宋佩泽 / 裘姝琦更多...","类型: 剧情 / 悬疑","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-03-06(中国大陆)","","集数: 10","单集片长: 10分钟","又名: 深夜惊奇","","嘘！看手机","嘘！看手机2023 / 中国大陆 / 剧情 悬疑 / 欧丁丁 / 孙嘉俊 成止微暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35350809","腾讯视频","VIP免费观看"
"1689865991-18","https://movie.douban.com/tv/","","暂无评分","","","","","","导演: 韦liang","","张逸杰 / 王路晴 / 任运杰 / 厉家兵 / 张新童","类型: 剧情 / 爱情 / 奇幻","制片国家/地区: 中国大陆","语言: 汉语普通话","2023-04-12(中国大陆)","","集数: 23","单集片长: 23分钟","","","可爱的坏家伙","可爱的坏家伙2023 / 中国大陆 / 剧情 爱情 奇幻 / 韦liang / 张逸杰 王路晴暂无评分","https://www.douban.com/doubanapp/dispatch?uri=/tv/35936769","爱奇艺视频","VIP免费观看"
