actor,weibo_name,follower
锦鲤,锦鲤大王,1718.4万
丁程鑫,时代少年团-丁程鑫,2407.1万
张俪,张俪,1554.6万
鲁照华,鲁照华,453.9万
宋亚轩,时代少年团-宋亚轩,2189.8万
周艺轩,UNIQ-周艺轩,498.9万
潘斌龙,大潘潘斌龙,518万
王安宇,王安宇buss,448.9万
冯兵,演员冯兵,53.2万
任东霖,任东霖,32.3万
刘耀元,刘耀元,210万
马小钦,马小钦,1376
潘薏淳,No weibo account,
刘畅,刘畅木法沙,533万
杨蒙恩,蒙恩是蒙恩啊,72.9万
曾黎,曾黎,591.3万
丁若虚,丁若虚Joe,22.7万
穆乐恩,穆乐恩,98.8万
蒋袁娅蓉,娅蓉啊,20.5万
王珞丹,王珞丹,4307.7万
惠英红,惠英紅kara,190.1万
黄日莹,黄日莹,404.3万
郝祥海,No weibo account,
郭麒麟,郭麒麟,948.3万
张樟,张樟,202.8万
张震 Zhen Zhang,張震,202.5万
阳兵卓,阳兵卓的微博,100.2万
舒淇,舒淇,4061.5万
此沙,此沙是个小演员,82.6万
华晨宇,华晨宇yu,3766.6万
蓝天野,No weibo account,
王佑硕,王佑硕,
刘海宽,刘海宽_hill,641.6万
李幼斌,李幼斌的忠粉,2002
王玉雯,王玉雯Uvin,402.9万
郑好,郑好,403万
李元韬,No weibo account,
曾美慧孜,曾美慧孜Chloe人美,17.2万
曲尼次仁,曲尼次仁,69.5万
刘恋,刘恋MrMiss,135.5万
宗元圆,宗元圆,135.8万
宋洋,演员宋洋,103.9万
邢冬冬,邢冬冬-唐伯鼠,51.2万
李槿,李槿Eva,18.2万
唐晓天,唐晓天DADDI,882.9万
张沛,郑州牙齿矫正张沛医生,13.1万
李胤维 ,No weibo account,
骆新,骆新,71.3万
刘迅,刘迅,106.7万
V17-十四,No weibo account,
叶清,叶清voasia,146.8万
李墨之,李墨之之之,351.7万
蒋欣,蒋欣,2606万
萧敬腾,萧敬腾,1843.9万
戴向宇,戴向宇的微博,250.4万
陈坤,陈坤,9340万
福乐小哥,福乐小哥,38.8万
韦琪,No weibo account,
张晞临,张晞临,96.8万
盛蕙子,盛蕙子,103.4万
黑石稔,MinoruK_黑石稔,11.9万
魏哲鸣,魏哲鸣Miles,913.1万
张亚东,張亞東,349万
藤新,藤新Jiven,109.9万
卢昱晓,卢昱晓_,227.8万
叶可儿,叶可儿kiko,204.1万
曾可妮,曾可妮Jenny-Z,944.4万
杜光祎,杜光禕,4万
空灵薇薇,空灵薇薇,3077
屈菁菁,屈菁菁,253.5万
吕承珏,吕承珏,117.6万
靳东,靳东,1543.6万
思文,思文文文,198.6万
张雅钦,张雅钦Kiwi,147万
姜潮,姜潮,1496.7万
王嘉尔,王嘉尔,3082.6万
郑秀妍,Sy__Jessica,694.1万
丁禹兮,丁禹兮,988.8万
汤梦佳,汤梦佳,222.7万
耿力树,No weibo account,
倪妮,倪妮V,2488万
张炯敏,张炯敏,150.1万
于乃佳,于乃佳,30.9万
林妍柔,林妍柔,406.9万
许天奇,嘎嘎许天奇,157.2万
张哲瀚,No weibo account,
姚雷,姚雷-阿拉蕾,4103
张开泰,张开泰,269.5万
杨杏,杨杏_Yxx,101.7万
孙熹之,孙熹之,50.2万
蔡海婷,No weibo account,
朱效民,No weibo account,
张天阳,张天阳,379.6万
应采儿,应采儿,1754.4万
张峻宁,张峻宁,499.8万
梓渝,光合少年-梓渝,227.8万
葛剑雄,葛剑雄,99.2万
蒲萄,_蒲萄,89.7万
叶知秋,叶知秋Vanessa,161.3万
Akira明,AKIRA明_,6810
向涵之,向涵之,188万
鸟鸟,也就是鸟鸟,38.9万
刘逸云,刘逸云Amber,668.3万
许国栋,No weibo account,
冷泉夜月,冷泉夜月,26.4万
李小冉,李小冉,1356万
皇贞季,适量的油滑锅,121
杨磊,小巨蛋杨磊,60.2万
何瑞贤,何瑞贤,413.1万
包上恩,包上恩,121.4万
单依纯,单依纯,874.6万
乔菲菲,配音员乔菲菲,6183
何浩楠,种地吧何浩楠,113万
黄灏楠,No weibo account,
向琴琴,我是向琴琴呀,41.3万
余衍林,franklinyu余衍林,110.2万
刘宪华,刘宪华Henry-Lau,1249.1万
戴士,JY戴士,478.9万
刘泳希,刘泳希,387.2万
林平娜,No weibo account,
胡杏儿,胡杏儿,1095.4万
郑乃馨,Nene郑乃馨,466.9万
嘉泽,祖嘉泽,28万
蔡宜达,蔡宜达johnny,125.8万
黄贯中,黄贯中,203.2万
邢佳栋,邢佳栋,34.7万
蔡少芬,蔡少芬,1423.8万
