剧名,集数,制作,首播,主演,题材
幕后之王,46,2017,1月5日 北京/东方卫视,周冬雨、罗晋、刘芮麟、王骁、邬立朋、谢君豪、种丹妮、陈燃,都市
龙族的后裔,30,2016,1月6日 河南卫视周播,陈月末、许还山,古装
新大头儿子和小头爸爸Ⅱ,50,2017,1月7日 爱奇艺,王浩宇、陈梓妍、黄筱赞、龙子涵、顺心,青少
小女花不弃,51,2018,1月8日 浙江卫视周播剧场,林依晨、张彬彬、林柏宏、孙祖君、黄心娣,古装
我的冤家住对门,30,2013,1月11日 山东卫视,陈赫、包贝尔、王鸥、张瑞涵（客串:李晨）,都市
皓镧传,62,2017,1月19日 爱奇艺,吴谨言、茅子俊、聂远、宁静、王志飞、谭卓、海铃、洪尧、姜梓新、何奉天、王琳、方安娜,古装
招摇,55,2017,1月28日 湖南卫视青春进行时,白鹿、许凯、代旭、米露,古装
我的亲爹和后爸,40,2017,1月30日 东方卫视,张译、张国立、李建义、买红妹、高晓菲、姚远、潘辰（客串:岳云鹏）,都市
四大才子 / 四大才子之真假唐伯虎,8,2018,2月3日 上海都市频道,钱泳辰、文松、王汝刚,古装
往事云烟,48,2015,2月9日 江苏城市频道,江一燕、段奕宏、斯琴高娃、刘佩琦、李勤勤,民初
独孤皇后,50,2017,2月11日 腾讯视频/优酷/爱奇艺,陈乔恩、陈晓、戚迹、海陆、瑛子、蒋恺,古装
错落的音符,30,2017,2月12日 爱奇艺,闻典、杨青竹,青春
逆流而上的你,40,2018,2月12日 湖南卫视金鹰独播剧场,马丽、潘粤明、孙坚、李乃文、黄梦莹、刘威葳,都市
东宫,55,2017,2月14日 优酷（首播），2020年1月14日 湖南卫视偶像独播剧场（上星）,陈星旭、彭小苒、魏千翔、斯琴高娃、罗嘉良、杨恭如、王志飞、张定涵、蒋恺,古装
北漂爱情故事,20,2017,2月20日 爱奇艺,高阳、何乙轩、黄鑫、褚旭、丁香紫（客串:鲍春来、李行亮、董立范）,都市
茉莉,38,2017,2月24日 泰州二套,陈紫函、刘长德、高基才、代文雯,都市
黄金瞳,56,2018,2月26日 爱奇艺（首播），4月20日 东方卫视白天档（上星）,张艺兴、王紫璇、李立群、王栎鑫,都市
倚天屠龙记,50,2018,2月27日 腾讯视频,曾舜晞、陈钰琪、祝绪丹、张超人、周海媚、曹曦月、黑子、陶珞依、许雅婷、邬靖靖、安泽豪、傅隽、师小红、贺刚（客串:林雨申、李依晓、李解、沈保平）,古装
都挺好,46,2018,3月1日 浙江/江苏卫视,姚晨、倪大红、郭京飞、杨祐宁、李念、高露、高鑫、张晨光、彭昱畅,都市
鼓楼外,40,2016,3月1日 深圳都市频道（首播），2022年3月17日 北京卫视（上星）,于震、边潇潇、杜源,都市
只为遇见你,53,2018,3月10日 湖南卫视金鹰独播剧场,张铭恩、文咏珊、魏千翔、汤梦佳、马雅舒、季肖冰（客串:李建义、戴娇倩）,都市
重耳传奇,78,2016,3月12日 浙江卫视周播,王龙华、张含韵、张一山、蒲巴甲、麦迪娜、沈梦辰、谭凯、甘婷婷、贺刚、郭晓然、程媛媛、林永健、王刚、王艳、保剑锋、翁虹、龚蓓苾、金巧巧、陈紫函、李宗翰、买红妹、张亮、洪剑涛、侯耀华,古装
让我听懂你的语言,38,2016,3月20日 央视八套,邱泽、陆怡璇、张小磊、刘德凯,青春
三一四侦探团,24,2018,3月20日 爱奇艺,孙嘉良、潘子瑶,青少
青春斗,38,2018,3月24日 北京/东方卫视,郑爽、盖玥希、徐悦、陈小纭、王秀竹（客串:王阳、任重、张铎）,青春
夜空中最闪亮的星,44,2017,3月25日 爱奇艺/腾讯视频/芒果TV（首播），7月10日 湖南卫视白天档（上星）,黄子韬、吴倩、牛骏峰、曹曦月（客串:秦岚、王劲松、魏大勋）,青春
推手,47,2017,3月26日 浙江/江苏卫视,贾乃亮、王鸥、刘欢、边潇潇、王劲松、李天柱,都市
小幸福,40,2016,3月30日 宁波社会生活频道（首播），2021年2月7日 湖北卫视（上星）,姜武、牛莉、韩童生、刘莉莉、斯琴高娃、洪剑涛、程梓、何云伟、Mike隋、贾清茹（客串:张嘉译、闫妮、王劲松）,都市
面具背后,42,2014,4月1日 央视八套,李东学、张俪、林源、胡海锋、寇振海、俞小凡、冯恩鹤、何赛飞,民初
